Threat ID	Asset Name	Description	Threat	Threat description	Protection Goal	Attacker / Skill-Level	Rationale	Test Objective
STR-S-001	Firmware Image	COM and SCPU application firmware content and version, including update packages installed via IoT Core	Spoofing	An attacker impersonates a trusted firmware source to deliver a malicious firmware image via the IoT Core update mechanism.	Authenticity, Integrity	Network Attacker / High	SRIO-7915 documents firmware installation over IoT Core; no independent update-source authentication process is documented in the provided files.	Submit a firmware image from an unauthorized/spoofed source and verify rejection, alerting, and no installation.
STR-S-002	Bootloader	COM and SCPU bootloader code responsible for controlled startup and firmware acceptance	Spoofing	An attacker uses the documented per-controller debug/programming interface to impersonate a legitimate flashing tool and load unauthorized bootloader code.	Authenticity, Integrity	Local Attacker / Expert	SRIO-1374 documents a debug and firmware-flashing interface for each controller; no bootloader source-authentication mechanism is documented for this interface.	Attempt bootloader replacement via the debug/flashing interface from an unauthorized tool and verify rejection or detection.
STR-S-003	F-Address	Configured own PROFIsafe safety address (F_Dest_Add) set via rotary switches, used for safety communication identity binding	Spoofing	A rogue device is configured with a duplicated or forged F-Address to be accepted as a valid safety communication partner.	Authenticity, Integrity	Local Attacker / Medium	F_Dest_Add is the own safety address configurable via rotary switches (SRIO-2013) and used for F-Parameter identity binding.	Introduce a device with a duplicated F-Address and verify detection/rejection before safety communication is established.
STR-S-004	PROFIsafe Safety Parameters	CRC-protected safety parameter set (F_WD_Time, F_Source_Add, F_iParCRC, F_ParCRC, and safety iParameters such as Filter Time, Symmetry, Discrepancy Time, Switch-off Delay)	Spoofing	An attacker impersonates an authorized F-Engineering tool to submit a fraudulent safety parameter set.	Authenticity, Integrity	Cybersecurity Expert / Expert	The F-Parameter record (table 6) and iParameter CRC (F_iParCRC) are documented as transferred from an F-Engineering Tool with no independent tool-authentication step described.	Submit a safety parameter set from an unauthorized engineering source and verify rejection and CRC/authenticity validation.
STR-S-005	F-DI Process Data	Safety digital input process values exchanged via PROFIsafe/PROFINET	Spoofing	An attacker injects fabricated safety digital input values impersonating a legitimate field sensor/source.	Authenticity, Integrity	Network Attacker / High	F-DI channels and their PROFIsafe transport are explicitly documented (100 Sec. 8.3, 209 Sec. 6.2.3).	Inject spoofed F-DI values and verify PROFIsafe address/CRC validation rejects them before use.
STR-S-006	F-DO Process Data	Safety digital output command values exchanged via PROFIsafe/PROFINET	Spoofing	An attacker impersonates the F-Host/PLC to send forged safety output commands.	Authenticity, Integrity	Network Attacker / High	F-DO channels and F_Source_Add-based host identity are explicitly documented (100 Sec. 8.4, 209 F-Parameter table).	Send forged F-DO commands from an unauthorized source and verify rejection before actuation.
STR-S-007	Device Network Configuration	PROFINET communication identity and network configuration (NameOfStation, IP suite, default gateway)	Spoofing	An attacker impersonates a PROFINET IO-Controller or Engineering System to issue DCP set operations.	Authenticity, Integrity	Network Attacker / High	DCP set of IP parameters/NameOfStation by an IO-Controller or Engineering System is explicitly documented (SRIO-3029).	Issue DCP set requests from an unauthorized host and verify rejection, alerting, and no unauthorized parameter change.
STR-S-008	Device Identity Data	Device identity attributes (serial number, product code/name, vendor, hardware/software revisions, production date)	Spoofing	An attacker presents forged device identity data to masquerade as a genuine SRIO unit.	Authenticity	Network Attacker / Medium	Deviceinfo tree fields are explicitly documented as identity data relied upon by engineering/asset-management systems (SRIO-2946).	Present forged identity data to management interfaces and verify identity-consistency checks or detection.
STR-S-009	I&M Data	PROFINET Identification & Maintenance records (I&M0-I&M4), including I&M4 safety CRC linkage	Spoofing	An attacker provides forged I&M data to misrepresent device identity/maintenance information to PROFINET engineering tools.	Authenticity	Network Attacker / Medium	I&M0-I&M4 are explicitly documented standard PROFINET identification/maintenance records (209 Sec. 6.3.1.1, SRIO-3015).	Present manipulated I&M records and verify consistency/validation checks against actual device data.
STR-S-010	GSDML File	Device description file (GSDML) used for PROFINET engineering integration, including F_ParamDescCRC	Spoofing	An attacker distributes a modified GSDML file impersonating the authentic ifm-provided engineering descriptor.	Authenticity, Integrity	Attacker / Medium	GSDML filename/version content and the F_ParamDescCRC attribute are explicitly specified (SRIO-3019, SRIO-7758).	Substitute a modified GSDML file in the engineering workflow and verify detection via checksum/version verification.
