## 1–2. Hardware / Safety & Cyber-Security Relevant Compute Assets

| Asset ID | Asset Name | Asset Description |
|---|---|---|
| AST-001 | Host CPU3 (COM, VHIP3 core) | STM32F777NI Cortex-M7, non-safe communication controller; runs Communication Module Software, IoT-Core, Fieldbus-Delegator; 2MB internal flash, 768KB RAM. |
| AST-002 | Safety CPU1 (SCPU1) | STM32F777, one of two diverse-redundant safety controllers; executes safe DI/DO logic, PROFIsafe stack, safety parameter validation. |
| AST-003 | Safety CPU2 (SCPU2) | Second diverse-redundant safety controller (1oo2 architecture with SCPU1); cross-monitors CPU1 (temperature, watchdog). |
| AST-004 | NetX90 Fieldbus Chip | Hardware building block implementing PROFINET/Ethernet physical and protocol layer for the fieldbus interface. |
| AST-005 | Hardware Watchdog | Independent watchdog logic between SCPU1/SCPU2 (SPI6/purple path) enforcing safe-state on CPU failure. |
| AST-006 | Digital Isolators (2x) | Galvanic isolation components separating SysCom logic domain (3V3_1S/2S) from output driver domain (3V3_1A/2A). |
| AST-007 | eFUSE | Electronic fuse protecting the actuator supply/output switching path against overcurrent. |
| AST-008 | Groupswitch (Switch CH1/CH2/M) | Output switching stage driving F-DO1/F-DO2/GND_UA; safety-relevant actuator control element. |
| AST-009 | Power Supply Module | Converts US/UA 24V domains, generates internal 3V3 supplies; includes monitoring block. |
| AST-010 | Oscillators (CPU1/CPU2/CPU3) | Independent clock sources per controller; failure affects timing/diagnostics integrity. |
| AST-011 | Cross-Temperature Sensors (CPU1↔CPU2) | Mutual temperature monitoring inputs used for diagnostic cross-checking between safety CPUs. |

## 3. Communication Interfaces

| Asset ID | Asset Name | Asset Description |
|---|---|---|
| AST-012 | PROFINET Fieldbus Ports (x2, M12 D-coded) | External Ethernet interface, 100BASE-TX, supports IRT, MRP, DCP; connects device to PLC network. |
| AST-013 | IoT-Core Web Interface (HTTP) | Non-safety web/HTTP interface (max 2 concurrent connections) for diagnostics, device info, and firmware update; no HTTPS/WSS/MQTT support. |
| AST-014 | SysCom Interface (SPI, COM↔SCPU1) | Internal transport layer between Host CPU3 and Safety CPU1; cyclic (2ms) process data and acyclic error events; timeout-monitored. |
| AST-015 | IPC Interface (SCPU1↔SCPU2, SPI2/I2C) | Inter-processor communication between the two safety controllers for cross-comparison and watchdog signaling. |
| AST-016 | Debug/Programming Interfaces (per CPU) | JTAG/SWD debug and flashing connectors for CPU1, CPU2, CPU3; intended for development phase only. |
| AST-017 | eRPC Service Interface | Asynchronous RPC-based service channel (generated via erpcgen) used for non-real-time configuration/diagnostics between Delegators. |
| AST-018 | Shared Memory Data Interface (Fieldbus-Delegator↔IO-Delegator) | Low-latency shared-memory channel for process data exchange between fieldbus stack and IO handling. |
| AST-019 | DCP Protocol Service | PROFINET Discovery and Configuration Protocol; allows IP/NameOfStation change and factory reset from network. |

## 4. Persistent Data Storage Elements

| Asset ID | Asset Name | Asset Description |
|---|---|---|
| AST-020 | EEPROM – COM (CPU3) | 128Kbit EEPROM storing non-safe device configuration/device info (VHIP building-block layout). |
| AST-021 | EEPROM – SCPU1 | Persistent storage of safety parameters/state for Safety CPU1. |
| AST-022 | EEPROM – SCPU2 | Persistent storage of safety parameters/state for Safety CPU2. |
| AST-023 | Internal Flash (CPU3, 2MB) | Stores Host CPU firmware/instructions. |
| AST-024 | External Flash (32Mbit) | Staging/update storage for firmware images (VHIP3 core). |
| AST-025 | Shared Update Flash | Flash region shared across CPU1/CPU2/CPU3 used during firmware update distribution. |
| AST-026 | Error Log (Circular Buffer) | Persistent (until cold-start) circular buffer, ≥100 entries, readable via IoT-Core; contains ErrorEvents from COM and SCPU. |
| AST-027 | Device Tag / Application Tag | User-writable persistent identifier string (max 31 chars) stored via IoT-Core tree. |
| AST-028 | Own Safe Address Storage | Persistent or rotary-switch-derived safety fieldbus address used for PROFIsafe telegram addressing. |
| AST-029 | Safety Application Parameters (iParameters) | Persistent safety-relevant parameters (filter time, symmetry, discrepancy time, F-parameters) protected by iPar CRC. |
| AST-030 | Uptime Counter | 4-byte persistent-until-coldstart uptime value. |

## 5. Firmware Update Mechanisms

| Asset ID | Asset Name | Asset Description |
|---|---|---|
| AST-031 | IoT-Core Firmware Container/BLOB Upload | `/firmware/container` service tree (start_stream_set, stream_set) accepting chunked firmware upload over HTTP (max 4,128,768 bytes, 2048-byte chunks). |
| AST-032 | Firmware Install Service | `/firmware/install` service triggering reboot into update mode to apply an uploaded firmware image. |
| AST-033 | Rotary-Switch FW-Update Trigger (Position 999) | Physical HMI mechanism forcing device into FW_UPDATE boot state, accepting update requests via IoTCore. |
| AST-034 | FW_UPDATE Operating State | Dedicated system state handling firmware update process across COM and SCPU subsystems. |
| AST-035 | Bootloader – CPU3 (VHIP3) | Host controller bootloader responsible for loading/validating firmware images. |
| AST-036 | Bootloader – SCPU1/SCPU2 | Safety controller bootloaders (versioned, exposed via `/deviceinfo/swinfo/scpubootloaderversion`). |
| AST-037 | Firmware Downgrade Capability | Documented mechanism allowing installation of older FW versions; user-responsibility per manual. |
| AST-038 | PROFINET DCP Factory Reset (Modes 1–9) | Network-triggerable reset of application/communication/engineering data, including "Reset and Restore" of installed software images. |

## 6. Fieldbus and Service Interfaces

| Asset ID | Asset Name | Asset Description |
|---|---|---|
| AST-039 | GSD/GSDML File | Device description file (GSDML-V2.yy-ifm-AL40xS-xxxxxxxx.xml) used by engineering tools to configure the device on PROFINET. |
| AST-040 | PROFIsafe F-Parameters | Safety fieldbus parameters (F_Source_Add, F_Dest_Add, F_Passivation, watchdog time) governing safe communication. |
| AST-041 | I&M Data (I&M0–I&M5) | Identification & Maintenance records exposed via PROFINET, resettable via DCP. |
| AST-042 | FIT Service Interface | `/fit/setfit` service to trigger Fault Injection Tests; production-mode gated (hidden unless production_fuse unset). |
| AST-043 | Test Interface (Debug/FIT trigger) | Physical/dev interface enabling SW-FIT triggering and error message reception; development-phase only per requirement SRIO-1526. |
| AST-044 | Cyclic/Acyclic Fieldbus Process Data | PROFINET cyclic data (max 17B in / 15B out) and acyclic access channels used for process/parameter data exchange. |

## 7. Trust Boundaries

| Asset ID | Asset Name | Asset Description |
|---|---|---|
| AST-045 | External Network ↔ COM/NetX90 Boundary | Boundary between untrusted PLC/fieldbus network and the device's communication stack (primary attack surface). |
| AST-046 | External IP Client ↔ IoT-Core Boundary | Boundary between any host with IP access and the on-device HTTP webserver/config interface. |
| AST-047 | COM (non-safe) ↔ SCPU1 (safe) Boundary | SysCom SPI boundary separating non-safety host software from safety-certified controller (black-channel principle). |
| AST-048 | SCPU1 ↔ SCPU2 Boundary | Boundary between the two diverse redundant safety channels, bridged only via monitored IPC/watchdog. |
| AST-049 | Galvanic Isolation Boundary (Logic ↔ Output Power) | Digital isolators separating SysCom 3V3 logic domain from DO driver/output domain. |
| AST-050 | US ↔ UA Power Domain Boundary | Reinforced/double-insulated galvanic separation between sensor supply (US) and actuator supply (UA). |
| AST-051 | Physical Debug Interface Boundary | Boundary between physical/local access (debug connector) and firmware/memory of each CPU. |
| AST-052 | Field Wiring ↔ DI/DO Boundary | Boundary between external sensors/actuators (untrusted field wiring) and internal I/O circuitry. |
| AST-053 | Production-Mode Boundary (production_fuse) | Logical boundary gating hidden/production-only IoT-Core elements (e.g., FIT) once production_fuse is set. |

## 8. Externally Accessible Functions

| Asset ID | Asset Name | Asset Description |
|---|---|---|
| AST-054 | `/devicecontrol/signal` Service | Externally triggerable LED blink/identify service via IoT-Core. |
| AST-055 | `/devicecontrol` Reset Function | Device reset/detection function accessible via IoT-Core tree. |
| AST-056 | `/firmware/*` Service Group | Externally accessible firmware version read, install, and upload services (see AST-031/032). |
| AST-057 | `/fit/setfit` Function | Externally triggerable fault-injection function (production-gated). |
| AST-058 | PROFINET DCP Set/Identify/Reset | Network-callable functions to set IP/name, blink identification LED, or factory reset. |
| AST-059 | Fieldbus Parameter Write (Acyclic) | PLC/Engineering-tool writable configuration records (GSD-defined) during parameterization phase. |
| AST-060 | Rotary Switch Physical Input | Physically settable value (0–999) selecting safe address, reserved ranges, or FW update mode. |

## 9. Additional Safety-Relevant Assets

| Asset ID | Asset Name | Asset Description |
|---|---|---|
| AST-061 | F-Digital Input Channels (DI 1–12) | Safety input channels (up to SIL3/PLe) reading sensor states, incl. test-pulse sensor supply (TSOut1/2). |
| AST-062 | F-Digital Output Channels (DO 1–4) | Safety output channels (up to SIL3/PLe) switching actuators, PP/PM switching modes, switch-off test pulses. |
| AST-063 | Safe µCOS-II OS (SCPU1/SCPU2) | Certified safe operating system providing freedom-from-interference between safe/non-safe partitions. |
| AST-064 | iPar CRC Value | Integrity checksum over safety parameters, generated by an externally certified T2 tool (CRC-Tool). |
| AST-065 | CRC-Tool (External, Certified) | Externally developed/TÜV-certified offline tool (T2) used to generate iPar CRC; supply-chain/support asset. |
| AST-066 | Safe State Logic (Init/Error/FATAL_ERROR states) | State machine ensuring outputs revert to defined safe state on error, power-cycle, or fatal failure. |

## 10. Supporting Assets (not obviously visible in current TARA)

| Asset ID | Asset Name | Asset Description |
|---|---|---|
| AST-067 | Release Notes (per FW version) | Documentation of user-relevant changes; supports secure update decision-making. |
| AST-068 | Safety Manual / User Manual | Documentation covering wiring, parameterization, SIL/PL claims, security assumptions ("safe zone behind firewall"). |
| AST-069 | LED Indicators (RDY, BF, SF, P, FS, LNK, ACT, US, UA, Port LEDs) | Non-safety status indicators; could mislead operators if compromised (informational-only per manual note). |
| AST-070 | Voltage/Current/Temperature Diagnostic Readouts | Non-safety telemetry (US/UA voltage & current, SCPU/DO temperatures) exposed via IoT-Core for maintenance. |
| AST-071 | System Time / Systick Counter | `/systemtime/systick` value, used for diagnostics/timestamps, not persistent. |
| AST-072 | Production Fuse Flag | Internal flag distinguishing production vs. development mode, gating hidden/test tree elements. |
| AST-073 | Power Connectors (XD1 In / XD2 Out) & Daisy-Chain Path | Physical power path enabling daisy-chained devices; current-limiting and FE routing relevant to safety/availability. |
| AST-074 | Functional Earth (FE) Path | Common FE routing from Power-In to Power-Out; EMC/safety relevant, not intended to carry current. |
| AST-075 | GSD/Engineering Data Distribution Channel | Process by which GSD files reach customer engineering tools (supply-chain integrity consideration). |

---
