Asset	Classification	Category	Source Document	Justification
Firmware Image	Asset	Firmware Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (SRIO-7915, deviceinfo/swrevision)	Executable software directly controls behavior; compromise impacts integrity, safety, and availability.
Bootloader	Asset	Firmware Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (deviceinfo/swinfo/*bootloaderversion); SRIO/_extracted/100_SRIO_Product-Requirements.txt (debug/flashing interface)	Controls startup and firmware acceptance; compromise can subvert trust and availability.
Update Container	Reject	Firmware Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt	No standalone object explicitly named "update container"; only firmware update process and external update flash are documented.
PROFIsafe Safety Parameters	Asset	Safety Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (F-Parameter table, SRIO-1857, SRIO-2998)	Safety-critical configuration values (F_WD_Time, CRCs, addresses) must be protected.
F-Address	Asset	Safety Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (F_Dest_Add/F_Source_Add); SRIO/_extracted/100_SRIO_Product-Requirements.txt (SRIO-2013)	Identity-binding safety address; compromise affects authenticity and safe communication.
Safety Configuration	Asset	Safety Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt; SRIO/_extracted/100_SRIO_Product-Requirements.txt	Represented by F-Parameters and safety iParameters; compromise affects safety integrity.
F-DI Data	Asset	Process Data Assets	SRIO/_extracted/100_SRIO_Product-Requirements.txt (Sec. 8.3); SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt	Safety input process values are core control data with safety impact.
F-DO Data	Asset	Process Data Assets	SRIO/_extracted/100_SRIO_Product-Requirements.txt (Sec. 8.4); SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt	Safety output command data directly drives actuators; compromise impacts safety.
Qualifier Data	Asset	Process Data Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (SRIO-3028)	Qualifier must be synchronous/consistent with Value; integrity/authenticity is security-relevant.
Cyclic PROFINET Process Data	Asset	Process Data Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (Sec. 6.4 mapping, process bytes)	Operational process values in cyclic exchange are core protected data.
Device Network Configuration	Asset	Device Configuration Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (SRIO-3029, DCP reset modes)	NameOfStation/IP/network parameters define connectivity and trust context.
IP Address	Asset	Device Configuration Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (SRIO-3029)	Configuration value whose compromise impacts availability and integrity.
Hostname (NameOfStation)	Asset	Device Configuration Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (SRIO-3029)	Identity/configuration value used by PROFINET engineering and operations.
Network Parameters	Asset	Device Configuration Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (DCP modes, /fieldbussetup/network/*)	Security-relevant communication configuration.
Device Settings	Asset	Device Configuration Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (devicecontrol, fieldbussetup, devicetag)	Operational settings and controls are objects of protection.
Error Log	Asset	Diagnostic Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (SRIO-10662, SRIO-15221)	Evidence and forensic value; compromise affects accountability and diagnostics.
Diagnostic Information	Asset	Diagnostic Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (devicestatus, diagnosis alarms)	Used for safe operation and troubleshooting; integrity/availability required.
Status Information	Asset	Diagnostic Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (SRIO-2950 devicestatus)	Operational status values have security and safety value.
Device Identity Data	Asset	Device Identity Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (SRIO-2946)	Serial/product/vendor/revision identity values underpin trust and asset management.
Serial Number	Asset	Device Identity Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (SRIO-2946)	Identity attribute; spoofing/disclosure has security impact.
I&M Data	Asset	Device Identity Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (Sec. 6.3.1.1, SRIO-3015)	Standard device identity/maintenance records; tampering/spoofing impacts trust.
Product Information	Asset	Device Identity Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (productcode/productname/vendor)	Identity and deployment data with security value.
Remanent Data	Asset	Persistent Storage Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (Sec. 2.3.4.3/2.3.4.4)	Persisted configuration/state restored at startup; compromise impacts integrity/availability.
EEPROM Data	Asset	Persistent Storage Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (hardware table; NVMEM Delegator)	Non-volatile protected data store for remanent values.
GSDML File	Asset	Engineering Integration Assets	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (SRIO-3019, SRIO-7758)	Engineering descriptor drives configuration and safety parameter interpretation.
COM	Component	Platform Components	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (purpose: describes component COM)	Architectural component, not itself the protected data object in this TARA.
NetX90	Component	Platform Components	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (BB fieldbus contains netX90)	Hardware processing component; threat entry should target contained assets/data.
Flash	Component	Platform Components	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (2MB Flash, external flash)	Storage component; protected objects are firmware and persistent data.
EEPROM	Component	Platform Components	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (EEPROM 128 Kbit)	Storage component; protected objects are EEPROM data/remanent data.
SCPU	Component	Platform Components	SRIO/_extracted/block_diagram.png; SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt	Compute component, not primary asset object in this asset-centric table.
PROFINET	Attack Surface	Communication Attack Surfaces	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (Sec. 6)	Transport/interface used to reach assets; not the protected object itself.
PROFIsafe	Attack Surface	Communication Attack Surfaces	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (F-Parameter/PROFIsafe sections)	Protocol channel carrying protected data; usually attack surface.
IoT Core	Attack Surface	Management Attack Surfaces	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (Sec. 5)	Management interface path to assets; not itself the target data asset.
HTTP	Attack Surface	Management Attack Surfaces	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (SRIO-7903, SRIO-7909)	Network interface surface used to access management assets.
SysCom	Attack Surface	Internal Attack Surfaces	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (Sec. 3.3, 2.3.4.1)	Internal communication channel carrying process/config data.
Fieldbus Port	Attack Surface	Physical/Network Attack Surfaces	SRIO/_extracted/209_SRIO_CompSpec_Module_Com.txt (two fieldbus connectors)	Ingress/egress interface, not the protected data object.
Power Connector	Attack Surface	Physical Attack Surfaces	SRIO/_extracted/100_SRIO_Product-Requirements.txt (SRIO-701/SRIO-702)	Physical interface influencing availability, but not a data asset.
DI Connector	Attack Surface	Physical Attack Surfaces	SRIO/_extracted/100_SRIO_Product-Requirements.txt (SRIO-718)	Physical input interface to access process data path.
DO Connector	Attack Surface	Physical Attack Surfaces	SRIO/_extracted/100_SRIO_Product-Requirements.txt (SRIO-716)	Physical output interface to access process data path.
