Asset ID	Asset Name	Asset Category	Asset Type	Description	Reason for Protection	Source Document	Document Reference
AST-001	Safe Input Process Data	Process_Data	Data Asset	Safety-relevant input process data sent from SRIO to the F_Host, including F-DI values, input status information, and qualifiers.	Incorrect or disclosed input data can cause unsafe control decisions, false safe states, or loss of process confidentiality.	201_SRIO_System_Spec_Architecture; 209_SRIO_CompSpec_Module_Com	201 §3.1 Typical Usecase Example; 201 §5.3 State Operate, SRIO-10050, SRIO-10047; 209 §5.3.1.7 DI Elements
AST-002	Safe Output Process Data	Process_Data	Data Asset	Safety-relevant output process data and commanded F-DO states received from the F_Host and applied by SRIO to connected actuators, including output qualifiers.	Manipulated or unavailable output data can trigger unintended actuation or block required safety actions.	201_SRIO_System_Spec_Architecture; 209_SRIO_CompSpec_Module_Com	201 §3.1 Typical Usecase Example; 201 §5.3 State Operate, SRIO-10049, SRIO-10046; 209 §5.3.1.8 DO Elements
AST-003	Safety Application Parameters (iPar)	Safety_Data	Configuration Asset	The PROFIsafe individual parameter sets for all 6 DI ports and 2 DO ports, including DI and DO safety parameters and their validated combinations.	These parameters define safety behavior of inputs and outputs; unauthorized change can alter the implemented safety function.	100_SRIO_Product-Requirements; 201_SRIO_System_Spec_Architecture	100 §13.2 Safety Application Parameters; 100 SRIO-1983; 201 §8.6.4.2 Individual Parameter [iPar], SRIO-12574, SRIO-8573, SRIO-10813
AST-004	Safe Fieldbus Parameters (F-Parameters)	Safety_Data	Configuration Asset	PROFIsafe communication parameters exchanged for SRIO, including F_Source_Add, F_WD_Time, F_iParCRC, and F_ParCRC.	These parameters establish safe communication integrity, timing, and parameter consistency; compromise can break or subvert the safety channel.	100_SRIO_Product-Requirements; 209_SRIO_CompSpec_Module_Com	100 §13.3 Safe Fieldbus Parameters; 209 §6.2.2 F-Parameters, Table 6; SRIO-7794; SRIO-1857
AST-005	Own Safe Address (F_Dest_Address)	Safety_Data	Configuration Asset	The SRIO's own safe address used as the PROFIsafe destination address and derived from the rotary-switch setting for values 1..899.	This value anchors trusted addressing between safety communication partners; wrong or forged values enable misbinding or denial of safe communication.	100_SRIO_Product-Requirements; 201_SRIO_System_Spec_Architecture; 209_SRIO_CompSpec_Module_Com	100 §13.4 Own Safe Address; 100 SRIO-2013; 201 SRIO-15799 and SRIO-11511; 209 §6.2.2, F_Dest_Add
AST-006	Network Configuration Data	Configuration_Data	Configuration Asset	Communication configuration for the fieldbus side, including IP address, subnet mask, default gateway, DHCP/static mode, hostname, and NameOfStation-related settings.	Unauthorized changes can disrupt controller communication, misidentify the device on the network, or redirect operational traffic.	209_SRIO_CompSpec_Module_Com	209 §5.3.1.9 Fieldbussetup; /fieldbussetup/network/ipaddress, subnetmask, ipdefaultgateway, hostname, dhcp; §6.1.2 DCP, SRIO-7772, SRIO-3029, SRIO-3030
AST-007	Device Identity and I&M Data	Identity_Data	Identity Asset	Device identification and maintenance data, including product code/name, vendor, serial number, production date, hardware and software revision, and I&M0-I&M5 records.	These records support trusted identification, maintenance, asset management, and engineering; tampering can enable spoofing, misidentification, or unsafe maintenance actions.	209_SRIO_CompSpec_Module_Com	209 §5.3.1.2 Deviceinfo; §6.3 I&M Data; SRIO-2946; SRIO-3002; SRIO-3005; SRIO-3004; SRIO-3003; SRIO-3011; SRIO-3023
AST-008	Installed Firmware and Bootloader Software	Firmware	Firmware Asset	The executable software baseline running on SRIO, including COM/SCPU firmware and exposed bootloader software versions for host and safety controllers.	Integrity and authenticity of installed executable software are required for trustworthy startup, communication, diagnostics, and safety behavior.	100_SRIO_Product-Requirements; 209_SRIO_CompSpec_Module_Com	100 SRIO-1268 Safe Firmware Architecture Characteristics; 209 §5.3.1.2 Deviceinfo, /deviceinfo/swrevision, /deviceinfo/swinfo/cpubootloaderversion, /deviceinfo/swinfo/scpuversion, /deviceinfo/swinfo/scpubootloaderversion
AST-009	Firmware Update Container	Firmware	Firmware Asset	The uploaded SRIO firmware package transported via IoTCore as a firmware container/blob for installation in update mode.	A forged or corrupted update package can replace trusted software or prevent safe operation; the update package therefore has clear integrity and authenticity value.	209_SRIO_CompSpec_Module_Com; 218_SRIO_Manual	209 §5.3.1.11 Firmware, /firmware/container, /firmware/install; 218 Chapter 9 Firmware Update, SRIO-15087, SRIO-9662
AST-010	Error Log and Diagnostic History	Diagnostic_Data	Diagnostic Asset	Recorded error events, log entries, uptime context, and retained diagnostic history made available through IoT and fieldbus diagnosis handling.	These records are needed for incident analysis, fault handling, and service decisions; tampering or disclosure can mislead operators or hide failures.	201_SRIO_System_Spec_Architecture; 209_SRIO_CompSpec_Module_Com	201 §8.1.2 IoTCore, SRIO-11532; 201 §8.1.4.1 Errorhandling, SRIO-10665, SRIO-10251; 209 §4.2.1 Error Logs, SRIO-15406, SRIO-10703, SRIO-10663, SRIO-10662, SRIO-15221
AST-011	Device Status and Monitoring Data	Diagnostic_Data	Diagnostic Asset	Operational status and monitoring values exposed via IoTCore, including operating state, rotary-switch value, temperatures, voltages, currents, and related status indicators.	These values reveal internal state and support diagnostics and maintenance; tampering or unauthorized disclosure can mislead troubleshooting or leak operational insight.	100_SRIO_Product-Requirements; 209_SRIO_CompSpec_Module_Com	100 SRIO-1946; 201 §8.1.2 IoTCore, SRIO-11533; 209 §5.3.1.4 Devicestatus, /devicestatus/operatingstate, temperature, voltage, current
AST-012	Persistent Remanent Data	Persistent_Data	Data Asset	Non-volatile stored data in EEPROM/NVMEM used to restore configuration and state after restart, including remanent I&M records and other saved device parameters.	Compromise of persistent data survives restart and can corrupt restored configuration, identity, or system behavior.	100_SRIO_Product-Requirements; 209_SRIO_CompSpec_Module_Com	100 SRIO-1258 EEPROM Layout; 100 §13.4 Own Safe Address; 209 §2.3.4.3 Device-Delegator; §2.3.4.4 NVMEM-Delegator; §6.3 I&M1/I&M2/I&M3 storage requirements
AST-013	GSDML Device Description	Configuration_Data	Software Asset	The PROFINET GSDML device description file defining SRIO identity, modules, submodules, process-data lengths, F-parameter descriptors, and engineering-time configuration metadata.	Manipulated or unauthorized GSDML content can lead to unsafe or inconsistent engineering and configuration of the device.	209_SRIO_CompSpec_Module_Com	209 §6.2 GSD File; SRIO-3019; SRIO-3020; SRIO-3021; SRIO-3017; SRIO-7758; SRIO-6552; SRIO-14860
